"","brand","goods","price"
"1","이브로쉐","이브로쉐 라즈베리헤어식초 150ml (Re)","9,900"
"2","츠바키","츠바키 볼륨 샴푸 450ml","4,800"
"3","닥터포헤어","닥터포헤어 씨솔트 스케일러 200g","12,600"
"4","로레알 파리","로레알파리 토탈리페어5 헤어팩 170ml 2입 기획(50ml 추가증정)","13,900"
"5","달리프","달리프 베러 루트 릴렉싱샴푸 [탈모증상완화/두피강화] 500ml*2개 기획","17,600"
"6","이브로쉐","이브로쉐 네틀 퓨리파잉 샴푸 300ML (지성두피용)","7,200"
"7","이브로쉐","이브로쉐 퓨리티 헤어식초 150ml","8,010"
"8","바티스트","바티스트 드라이샴푸 오리지널 200ml","8,900"
"9","허벌에센스","허벌에센스 클래식 카모마일 샴푸 490ml","6,900"
"10","이브로쉐","이브로쉐 라즈베리 헤어식초 대용량 400ML 트리플 기획세트","36,200"
"11","피토더마","피토더마 두피 딥클렌징 샴푸 400ml","7,800"
"12","알페신","알페신 카페인 샴푸 리퀴드 200ml","11,560"
"13","라우쉬","라우쉬 콜츠푸트 안티-댄드러프 샴푸 200ml(비듬 두피 정화 샴푸)","24,000"
"14","이브로쉐","이브로쉐 모링가 리프레쉬 미셀라 샴푸 300ML (딥클렌징)","7,200"
"15","아로마티카","아로마티카 로즈마리 스칼프 스케일링 샴푸 400ml 한정기획(+카밍젤 30ml)","13,900"
"16","클로란","클로란 아쿠아민트400ml  BOGO","26,730"
"17","이브로쉐","이브로쉐 헤어식초 150ML 1+1 기획세트 (리뉴얼)","11,900"
"18","더마클라센","더마클라센 굿바이 헤어 로스 샴푸 로즈마리향 1000ml 기획 (탈모완화샴푸)","20,000"
"19","로레알 파리","로레알파리 토탈리페어5 샴푸 대용량 기획[본품900ml+증정340ml]","19,200"
"20","쿤달","쿤달 네이처샴푸 500ml 베이비파우더","7,900"
"21","닥터포헤어","닥터포헤어 폴리젠 샴푸 300ml 더블업 기획세트(100ml*3개증정)","17,600"
"22","츠바키","츠바키 볼륨 컨디셔너 450ml","4,800"
"23","아로마티카","[아로마티카] 티트리 퓨리파잉 샴푸 400ml","13,900"
"24","마녀공장","마녀공장 허브그린 내추럴 헤어 샴푸 510ml","12,500"
"25","클로란","클로란 피오니 샴푸 400ml BOGO기획","22,700"
"26","로레알 파리","로레알 엑스트라오디네리 오일 리치브라운 2입 기획","28,500"
"27","티에스샴푸","TS 프리미엄 샴푸 700g(500g+140g+6gx10매)","32,500"
"28","아로마티카","[아로마티카] 로즈마리  헤어 씨크닝 트리트먼트  컨디셔너 400ml","10,500"
"29","헤어플러스","헤어플러스 컬러본드 보색 샴푸 300ml","14,300"
"30","제이숲","제이숲 실크 케라틴 샴푸 1000g","21,700"
"31","더마클라센","더마클라센 굿바이 헤어 로스 샴푸 레몬그라스향 1000ml 기획(탈모완화샴푸)","20,000"
"32","헤드스파7","헤드스파7 썬트리 샴푸기획[탈모기능성] [300ml+6ml*5개]","14,700"
"33","착한팩토리","착한팩토리 밀크 단백질샴푸 1000ml+트리트먼트 1000ml","18,910"
"34","허벌에센스","허벌에센스 클래식 카모마일 컨디셔너 490ml","6,900"
"35","팬틴","팬틴 극손상 린스 500ml","5,700"
"36","리엔","닥터그루트 힘없는모발 샴푸 400ml","19,000"
"37","플란투어","플란투어39 파이토-카페인 샴푸 250ml (연약한 모발용)","16,200"
"38","아로마티카","아로마티카 로즈마리 액티브 브이 안티 헤어로스 샴푸 400ml","19,600"
"39","존슨즈","존슨즈 베이비 소프트 앤 샤이니 샴푸 500ml","10,780"
"40","클로란","클로란 오트밀크 퀵&UP 드라이 샴푸 150ml","12,200"
"41","츠바키","츠바키 스무드 컨디셔너 450ml","4,800"
"42","사이오스","사이오스 실리콘무첨가 모이스춰 샴푸 750ml","7,900"
"43","닥터포헤어","닥터포헤어 폴리젠 샴푸 300ml기획세트(New)","17,600"
"44","닥터포헤어","닥터포헤어 피토테라피 샴푸 500ml","22,400"
"45","팬틴","팬틴 극손상 샴푸 500ml","5,700"
"46","츠바키","츠바키 모이스트 컨디셔너 450ml","4,800"
"47","착한팩토리","착한팩토리 더 빠른샴푸 500ml","21,850"
"48","티엔","티엔 헤어에디터 톡톡 헤어 파우더 10g","6,500"
"49","바티스트","바티스트 드라이샴푸 오리지널 50ml","7,500"
"50","존프리다","존프리다 딥클렌징 앤 리페어 샴푸 250ml","11,900"
"51","바티스트","바티스트 드라이샴푸 블러쉬 50ml","5,200"
"52","로레알 파리","로레알파리 토탈리페어5 샴푸","12,000"
"53","알페신","알페신 하이브리드 카페인 샴푸 250ml","10,710"
"54","미쟝센","퍼펙트리페어 트리트먼트180ml 듀오팩[2입기획]","7,500"
"55","이브로쉐","이브로쉐 모링가 리프레쉬 헤어식초 150ML (딥클렌징)","11,900"
