"","brand","goods","price"
"1","겐조","플라워바이겐조 EDP 바디미스트","25,800"
"2","아리아나그란데","아리아나그란데 스위트 라이크 캔디 EDP 30ml 기획(2005)","53,000"
"3","안나수이","안나수이 포켓 스프레이 세트 [2ml*5]","9,900"
"4","클린","클린 리저브 아쿠아 네롤리 EDP 50ml","62,550"
"5","롤리타렘피카","[바디로션기획]롤리타렘피카 EDP 30ml 기획","44,900"
"6","클린","클린 웜코튼 EDP30ml / 60ml (N) 기프트세트","69,400"
"7","안나수이","안나수이 라무르로즈 베르사유 EDT 30ml","29,900"
"8","제니퍼로페즈","제니퍼로페즈 글로우 바이제이로 EDT 50ml 기획세트 (엔듀어링롤러볼 증정)","37,910"
"9","불가리","불가리 옴니아 아메시스트 EDT 65ml/40ml 기획","60,210"
"10","푸푸리","푸푸리 오리지널 시트러스 1.4 oz","7,900"
"11","클린","클린 리저브 블렌드 웜코튼 EDP 50ml","62,550"
"12","페라가모","페라가모 인칸토 참 EDT 30ml","29,900"
"13","토미","타미힐피거 타미걸 EDT 30ml","21,760"
"14","포맨트","포맨트 시그니처 퍼퓸 키트 (코튼허그)","39,000"
"15","안나수이","[선물기획]안나수이 판타지아 머메이드 EDT 50ml_바디로션/미니어처 기획","54,900"
"16","엘리자베스아덴","엘리자베스 아덴 그린티 30ml","9,900"
"17","클린","[NEW한정기획] 클린 샤워프레쉬 EDP(N) 롤러볼 기획세트 30ml","39,600"
"18","끌로에","끌로에 로즈 드 끌로에 EDT 50ml","107,100"
"19","푸푸리","푸푸리 라벤더 바닐라 1.4 oz","9,900"
"20","안나수이","안나수이 럭키위시 EDT 30ml","27,510"
"21","토스","베이비토스 EDC 15ml","12,900"
"22","엘리자베스아덴","엘리자베스아덴 그린티 30ml 퍼퓸 더블세트(그린티+체리블러썸)","17,900"
"23","게스","게스걸EDT 50ml","39,900"
"24","로샤스","로샤스 마드모아젤 로샤스 EDP 30ml 기획(미니어처 증정)","38,900"
"25","토스","토스 콜로뉴 우먼 EDT 15ml","12,900"
"26","안나수이","[선물기획]안나수이 판타지아/판타지아 머메이드 EDT 50ml_바디로션/미니어처 기획","54,900"
"27","몽블랑","몽블랑 레전드 나이트 EDP 50ML","59,500"
"28","파코라반","파코라반 원밀리언 럭키 EDT 50ml","56,000"
"29","지미추","지미추 블러썸 EDP 40ml 미니어처 세트","46,200"
"30","버버리","버버리 브리트쉬어EDT_30ml (N)","51,200"
"31","쇼파드","쇼파드 해피 쇼파드 펠리시아로즈 EDP 10ml 트래블 스프레이","23,200"
"32","필로소피","필로소피 어메이징그레이스 프레그런스EDT 15ml","25,000"
"33","필로소피","필로소피 어메이징그레이스 발레 로즈 EDT 60ml","69,000"
"34","파코라반","[선물기획]파코라반 원밀리언 EDT 100ml 트레블스프레이10ml","98,000"
"35","솔리노트","솔리노트 유쥬 EDP 50ML (유자향)","18,400"
"36","아리아나그란데","아리아나그란데 아리 EDP 30ml","45,320"
"37","아베크롬비","아베크롬비 어센틱 맨 EDT 30ml","45,000"
"38","겐조","플라워바이겐조 EDT 30ml / 50ml","39,690"
"39","클린","클린 쿨코튼 EDP 30ml (N) 기프트세트","44,000"
"40","엘리자베스아덴","엘리자베스아덴 그린티 EDT 50ml","27,500"
"41","페라가모","페라가모 세뇨리나 오드퍼퓸 30ml","69,300"
"42","클린","[NEW] 클린 웜코튼 EDP(N) 30ml","55,000"
"43","불가리","불가리 옴니아 골든 시트린 EDT 40ml 기획세트","93,000"
"44","랑방","랑방 잔느 EDP 50ml","60,900"
"45","랑방","랑방 메리미 EDP50ml","65,100"
"46","안나수이","안나수이 시크릿위시EDT 50ml","45,600"
"47","랍셍스","랍셍스 나르코틱 블랜드 EDP 50ml","58,320"
"48","더블유드레스룸","니어리스트 EDP 스윗 멜랑콜리 50ml","29,900"
"49","겐조","플라워바이겐조 오 드 퍼퓸 인 어 밀크 200ml(퍼퓸로션)","33,600"
"50","클린","[NEW] 클린 쿨코튼 EDP(N) 60ml","89,000"
"51","존바바토스","존바바토스X닉조나스 실버 EDT 125ml","119,000"
"52","존바바토스","존바바토스X닉조나스 실버 EDT 75ml","61,920"
"53","캐스키드슨","캐스키드슨 오드뚜왈렛 EDT 향수 만다린&피오니 30ml - 은은한 작약꽃향","32,000"
"54","캐스키드슨","캐스키드슨 오드뚜왈렛 EDT 향수 애플블라썸 30ml - 산뜻한 프리지아꽃 & 프레쉬한 사과향","23,900"
"55","클린","[NEW] 클린 에어 EDP(N) 60ml","89,000"
"56","클린","[NEW] 클린 에어 EDP(N) 30ml","39,600"
"57","라코스테","라코스테 L.12.12  엘레강트 포 우먼 네츄럴","53,000"
"58","클린","[NEW] 클린 쿨코튼 EDP(N) 30ml","44,000"
"59","끌로에","끌로에 EDP 50ml(N)","129,000"
"60","불가리","불가리 옴니아 아메시스트 EDT 40ml 기획","60,210"
"61","게스","게스 걸 프래그런스 미스트 250ml","15,000"
"62","캐스키드슨","캐스키드슨 오드뚜왈렛 EDT 향수 그레이프후르츠 30ml - 프레쉬하고 상큼한 자몽향","32,000"
"63","클린","[NEW] 클린 프레쉬런드리 EDP(N) 30ml","44,000"
"64","게스","게스 데어 프래그런스 미스트 250ml","15,000"
"65","끌로에","끌로에 EDP 30ml","99,000"
"66","클린","[NEW] 클린 프레쉬런드리 EDP(N) 60ml","89,000"
"67","끌로에","끌로에 시그니처 로 EDT 50ML","116,000"
"68","캐스키드슨","캐스키드슨 오드뚜왈렛 EDT 향수 와일드로즈&퀸스 30ml - 시트러스 장미향","32,000"
"69","나르시소 로드리게즈","[파우치증정]나르시소 로드리게즈 포 허 오드뚜왈렛 50ml 기프트 세트","92,000"
"70","필로소피","필로소피 어메이징 그레이스 바디기획","76,000"
"71","클린","[NEW] 클린 샤워프레쉬 EDP(N) 60ml","89,000"
"72","라코스테","라코스테 L.12.12 블랑 포 맨 50ML EDT","69,000"
"73","클린","[NEW] 클린 프레쉬린넨 EDP(N) 30ml","44,000"
"74","끌로에","끌로에 노마드 EDT 30ml","89,000"
"75","끌로에","끌로에 노마드 EDT 50ml","116,000"
